Athlete_Comp,Metric,Finish,Gender,Temp__Air,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score__1,Judge_7_Score__1,Major_Finalist,Major_Medalist,Nation,Olympic_Finalist,Olympic_Medalist,Temp__Snow,Season,Season_Comp,Round,Wind,age_yrs
BEAULIEU Charles - CAN - Canada Cup 1 - 2019 - Qualification 2,67.39,4,Men,-22.0,14.6,15.0,14.1,15.4,15.2,8.0,7.8,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 2,0.0,
ANDISON Robbie - CAN - Canadian Selections 1 - 2019 - Qualification 1,76.15,2,Men,0.0,18.6,18.0,17.9,17.6,17.4,6.0,6.0,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Qualification 1,0.0,23.0
VAILLANCOURT Sandrine - CAN - Canadian Selections 2 - 2019 - Qualification 1,60.31,10,Women,0.0,16.2,13.2,15.8,14.9,14.1,5.5,5.1,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 2,Qualification 1,0.0,19.0
TAKAHASHI Shiori - JPN - Canadian Selections 2 - 2019 - Qualification 2,62.75,2,Women,0.0,14.3,15.5,15.7,15.7,15.6,5.8,5.8,0,0,JPN,0,0,0.0,2019,2019-Canadian Selections 2,Qualification 2,0.0,17.0
KOEHLER Kaylee - CAN - Canadian Selections 1 - 2019 - Qualification 2,62.75,2,Women,0.0,13.9,14.3,15.0,15.0,16.1,5.8,5.7,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Qualification 2,0.0,17.0
KANG Phillip - KOR - Canadian Selections 1 - 2019 - Qualification 1,59.95,23,Men,0.0,16.3,16.2,15.7,15.6,15.9,4.9,5.5,0,0,KOR,0,0,0.0,2019,2019-Canadian Selections 1,Qualification 1,0.0,16.0
SAYERS Jana - CAN - Canada Cup 2 - 2019 - Qualification 1,46.16,12,Women,0.0,14.1,14.5,14.2,12.7,12.9,6.8,6.9,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 2,Qualification 1,0.0,
PARSONS Jackson - CAN - Canadian Selections 1 - 2019 - Qualification 1,25.39,37,Men,0.0,12.6,13.4,14.2,14.9,15.8,5.6,5.8,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Qualification 1,0.0,21.0
GILBERT Benoit - CAN - Canada Cup 1 - 2019 - Qualification 1,65.07,23,Men,-22.0,14.3,14.6,15.1,16.1,16.3,7.9,7.9,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 1,0.0,
GAGNON Louis - CAN - Canada Cup 1 - 2019 - Qualification 1,67.58,14,Men,-22.0,15.4,14.9,15.9,16.1,16.0,5.0,4.7,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 1,0.0,
MATTHEWS Aidan - CAN - Canadian Selections 1 - 2019 - Qualification 2,53.06,18,Men,0.0,14.3,11.2,14.2,15.0,15.0,5.7,5.9,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Qualification 2,0.0,19.0
NADEAU Jean Christophe - CAN - Canadian Selections 1 - 2019 - Qualification 1,7.12,40,Men,0.0,15.5,16.0,15.0,13.0,14.8,7.8,7.2,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Qualification 1,0.0,22.0
