Athlete_Comp,Metric,Finish,Gender,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Round_Group,Season,Season_Comp,Round,Wind,Athlete_name
CRONIN GUSS Angus - AUS - North American Cup 2 - 2016 - Qualification,62.2,27,Men,14.5,14.1,15.7,14.4,14.5,7.1,7.5,Qualification,2016,2016-North American Cup 2,Qualification,11.2,CRONIN GUSS Angus - AUS
REILLY Trevor - USA - North American Cup 3 - 2016 - Qualification 1,75.4,13,Men,15.7,15.8,14.8,16.2,15.9,6.9,7.5,Qualification,2016,2016-North American Cup 3,Qualification 1,0.0,REILLY Trevor - USA
DUFRESNE Gabriel - CAN - North American Cup 4 - 2016 - Final 1,78.45,8,Men,16.4,16.3,14.9,17.0,16.3,8.4,8.2,Finals,2016,2016-North American Cup 4,Final 1,0.0,DUFRESNE Gabriel - CAN
ROBINSON Cameron - USA - North American Cup 1 - 2016 - Qualification 1,51.43,37,Men,15.0,15.6,16.1,15.4,15.8,8.4,7.8,Qualification,2016,2016-North American Cup 1,Qualification 1,5.5,ROBINSON Cameron - USA
SEMMENS Trevor - USA - North American Cup 2 - 2016 - Qualification,56.68,30,Men,14.4,14.3,12.8,15.7,14.4,9.0,8.6,Qualification,2016,2016-North American Cup 2,Qualification,11.2,SEMMENS Trevor - USA
ZEMBA Bryan - USA - North American Cup 2 - 2016 - Qualification,72.61,14,Men,16.0,15.5,16.6,17.1,16.5,7.6,6.3,Qualification,2016,2016-North American Cup 2,Qualification,11.2,ZEMBA Bryan - USA
REILLY Trevor - USA - North American Cup 3 - 2016 - Final 1,72.61,14,Men,15.1,17.4,15.4,16.2,16.1,6.4,7.6,Finals,2016,2016-North American Cup 3,Final 1,0.0,REILLY Trevor - USA
HOFFMAN Zachary - CAN - North American Cup 1 - 2016 - Qualification 1,12.68,50,Men,14.0,13.8,14.5,14.1,13.8,6.1,6.0,Qualification,2016,2016-North American Cup 1,Qualification 1,5.5,HOFFMAN Zachary - CAN
KELLY Brenden - CAN - North American Cup 4 - 2016 - Qualification 1,76.39,13,Men,15.5,16.2,15.5,17.0,16.8,8.3,8.8,Qualification,2016,2016-North American Cup 4,Qualification 1,0.0,KELLY Brenden - CAN
STRANDE Jordan - USA - North American Cup 3 - 2016 - Qualification 1,75.59,12,Men,16.2,16.0,17.4,16.5,16.2,7.0,6.0,Qualification,2016,2016-North American Cup 3,Qualification 1,0.0,STRANDE Jordan - USA
MARTEL Devon - CAN - North American Cup 1 - 2016 - Qualification 1,8.67,51,Men,13.9,13.0,13.8,13.8,13.7,5.0,5.4,Qualification,2016,2016-North American Cup 1,Qualification 1,5.5,MARTEL Devon - CAN
TULLY Troy - USA - North American Cup 1 - 2016 - Final 2,80.86,3,Men,17.5,17.5,18.0,16.4,17.3,8.5,8.3,Finals,2016,2016-North American Cup 1,Final 2,5.5,TULLY Troy - USA
TULLY Troy - USA - North American Cup 1 - 2016 - Qualification 1,78.11,1,Men,16.3,16.3,17.2,16.4,16.8,7.8,8.1,Qualification,2016,2016-North American Cup 1,Qualification 1,5.5,TULLY Troy - USA
