Athlete_Comp_ID,Athlete_name,Gender,age_yrs,Nation,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Major_Finalist,Major_Medalist,Olympic_Finalist,Olympic_Medalist,Temp_Snow,Temp_Air,Wind,Season,Season_Comp,Round,Score_Metric,Finish_Rank
WESSEL Hedvig - NOR - World Championships - 2015 - Final 1,WESSEL Hedvig - NOR,Women,25.0,NOR,13.6,15.4,15.8,14.2,16.2,6.8,7.0,1,0,0,0,-2.0,4.0,1.2,2015,2015-World Championships,Final 1,74.64,14
DUFOUR LAPOINTE Chloe - CAN - World Cup 3 - 2015 - Final 1,DUFOUR LAPOINTE Chloe - CAN,Women,29.0,CAN,17.0,16.8,15.8,15.9,17.3,6.0,5.6,1,1,1,1,-2.0,-1.0,0.0,2015,2015-World Cup 3,Final 1,77.15,8
DUFOUR LAPOINTE Maxime - CAN - World Cup 2 - 2015 - Final 2,DUFOUR LAPOINTE Maxime - CAN,Women,31.0,CAN,16.8,17.2,16.6,16.6,17.0,7.9,7.7,1,0,0,0,-1.0,3.0,0.0,2015,2015-World Cup 2,Final 2,77.15,5
SUDOVA Nikola - CZE - World Cup 4 - 2015 - Final 1,SUDOVA Nikola - CZE,Women,38.0,CZE,17.0,17.1,16.4,16.0,17.1,5.2,6.0,1,0,1,0,-5.0,-17.0,0.0,2015,2015-World Cup 4,Final 1,77.39,7
RAKHIMOVA Regina - OAR - World Championships - 2015 - Final 2,RAKHIMOVA Regina - OAR,Women,31.0,OAR,16.8,16.0,15.8,16.4,15.8,8.1,8.2,1,0,0,0,-2.0,4.0,1.2,2015,2015-World Championships,Final 2,78.47,6
DUFOUR LAPOINTE Chloe - CAN - World Cup 1 - 2015 - Final 2,DUFOUR LAPOINTE Chloe - CAN,Women,29.0,CAN,18.0,16.9,18.0,18.1,17.5,8.2,7.9,1,1,1,1,-20.0,-21.0,1.1,2015,2015-World Cup 1,Final 2,82.45,2
KEARNEY Hannah - USA - World Cup 4 - 2015 - Final 2,KEARNEY Hannah - USA,Women,34.0,USA,17.2,18.2,17.1,17.4,17.9,8.2,8.2,1,1,1,1,-5.0,-17.0,0.0,2015,2015-World Cup 4,Final 2,85.28,1
MCCARGO Keaton - USA - World Championships - 2015 - Final 1,MCCARGO Keaton - USA,Women,25.0,USA,16.0,15.4,16.3,15.6,16.0,6.0,5.5,0,0,0,0,-2.0,4.0,1.2,2015,2015-World Championships,Final 1,75.07,12
OAKLEY KC - USA - World Championships - 2015 - Final 1,OAKLEY KC - USA,Women,32.0,USA,5.2,1.0,2.7,2.6,5.0,7.9,7.0,0,0,0,0,-2.0,4.0,1.2,2015,2015-World Championships,Final 1,34.66,18
ROBICHAUD Audrey - CAN - World Cup 3 - 2015 - Final 2,ROBICHAUD Audrey - CAN,Women,32.0,CAN,15.3,14.2,15.6,15.0,17.1,7.9,8.1,0,0,0,0,-2.0,-1.0,0.0,2015,2015-World Cup 3,Final 2,73.69,6
