Athlete_Comp_ID,Athlete_name,Gender,age_yrs,Nation,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Major_Finalist,Major_Medalist,Olympic_Finalist,Olympic_Medalist,Temp_Snow,Temp_Air,Wind,Season,Season_Comp,Round,Score_Metric,Finish_Rank
NADEAU Jean Christophe - CAN - North American Cup 2 - 2018 - Final 2,NADEAU Jean Christophe - CAN,Men,22.0,CAN,16.9,17.1,17.6,13.0,17.4,7.8,7.6,0,0,0,0,-8.0,-8.0,0.0,2018,2018-North American Cup 2,Final 2,25.55,6
MURATA Yutaro - JPN - North American Cup 2 - 2018 - Final 2,MURATA Yutaro - JPN,Men,22.0,JPN,19.2,18.8,18.6,17.2,18.6,7.4,7.7,0,0,0,0,-8.0,-8.0,0.0,2018,2018-North American Cup 2,Final 2,81.89,2
WALCZYK Dylan - USA - North American Cup 3 - 2018 - Final 1,WALCZYK Dylan - USA,Men,27.0,USA,18.5,18.4,19.0,18.5,18.5,8.7,8.4,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 1,84.16,4
MCQUINN George - USA - North American Cup 1 - 2018 - Final 1,MCQUINN George - USA,Men,22.0,USA,17.4,17.6,17.6,18.1,17.0,7.8,8.1,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 1,Final 1,77.43,10
SUGIMOTO Kosuke - JPN - North American Cup 3 - 2018 - Final 1,SUGIMOTO Kosuke - JPN,Men,26.0,JPN,18.0,18.3,18.3,17.5,18.7,8.2,7.7,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 1,85.26,3
CYKER Leo - USA - North American Cup 2 - 2018 - Final 1,CYKER Leo - USA,Men,21.0,USA,17.8,17.8,15.8,16.2,16.0,5.7,6.3,0,0,0,0,-8.0,-8.0,0.0,2018,2018-North American Cup 2,Final 1,69.88,13
ANDRINGA Jesse - USA - North American Cup 3 - 2018 - Final 1,ANDRINGA Jesse - USA,Men,23.0,USA,18.3,18.2,19.5,18.6,19.1,8.0,8.2,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 1,85.49,2
LEMIEUX Simon - CAN - North American Cup 1 - 2018 - Final 2,LEMIEUX Simon - CAN,Men,28.0,CAN,17.4,17.9,17.6,17.9,18.4,8.0,7.1,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 1,Final 2,81.62,5
KARIOTIS Jack - USA - North American Cup 3 - 2018 - Final 1,KARIOTIS Jack - USA,Men,23.0,USA,17.0,18.1,18.1,18.6,19.0,7.2,7.9,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 1,79.14,11
BAILEY Hunter - USA - North American Cup 3 - 2018 - Final 2,BAILEY Hunter - USA,Men,24.0,USA,18.3,19.0,18.6,18.9,19.2,7.8,7.1,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 2,86.2,1
PORTELLO Ryan - CAN - North American Cup 2 - 2018 - Final 1,PORTELLO Ryan - CAN,Men,23.0,CAN,18.8,18.8,18.5,18.1,18.5,6.0,6.4,0,0,0,0,-8.0,-8.0,0.0,2018,2018-North American Cup 2,Final 1,76.96,6
GUY TESSIER Olivier - CAN - North American Cup 3 - 2018 - Final 1,GUY TESSIER Olivier - CAN,Men,25.0,CAN,16.2,17.0,17.2,17.1,17.1,6.9,7.8,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 1,77.71,12
REILLY Trevor - USA - North American Cup 3 - 2018 - Final 1,REILLY Trevor - USA,Men,24.0,USA,16.8,17.4,18.2,17.0,18.0,6.9,7.6,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 1,79.4,10
MCQUINN George - USA - North American Cup 3 - 2018 - Final 2,MCQUINN George - USA,Men,22.0,USA,17.2,17.4,18.3,16.5,16.5,7.2,7.0,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 2,56.72,6
PORTELLO Ryan - CAN - North American Cup 2 - 2018 - Final 2,PORTELLO Ryan - CAN,Men,23.0,CAN,19.0,18.3,18.2,18.0,18.0,6.3,6.2,0,0,0,0,-8.0,-8.0,0.0,2018,2018-North American Cup 2,Final 2,76.44,5
SUGIMOTO Kosuke - JPN - North American Cup 1 - 2018 - Final 2,SUGIMOTO Kosuke - JPN,Men,26.0,JPN,18.2,17.6,17.8,17.6,18.3,6.7,6.4,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 1,Final 2,81.51,6
KURODA Brayden - CAN - North American Cup 1 - 2018 - Final 1,KURODA Brayden - CAN,Men,19.0,CAN,15.1,16.7,16.7,16.5,16.0,7.7,6.8,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 1,Final 1,63.98,13
LEMIEUX Simon - CAN - North American Cup 1 - 2018 - Final 1,LEMIEUX Simon - CAN,Men,28.0,CAN,17.2,17.6,18.1,17.8,17.4,8.3,8.5,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 1,Final 1,80.92,5
MURATA Yutaro - JPN - North American Cup 2 - 2018 - Final 1,MURATA Yutaro - JPN,Men,22.0,JPN,19.0,18.7,18.3,18.8,18.3,7.0,7.0,0,0,0,0,-8.0,-8.0,0.0,2018,2018-North American Cup 2,Final 1,79.66,4
DUMAIS Laurent - CAN - North American Cup 2 - 2018 - Final 1,DUMAIS Laurent - CAN,Men,24.0,CAN,19.1,19.2,18.8,18.9,18.8,6.9,7.3,0,0,0,0,-8.0,-8.0,0.0,2018,2018-North American Cup 2,Final 1,81.53,1
ANDRINGA Jesse - USA - North American Cup 1 - 2018 - Final 1,ANDRINGA Jesse - USA,Men,23.0,USA,17.8,17.8,17.4,17.4,16.4,8.5,8.3,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 1,Final 1,79.75,8
KOYAMA Takashi - JPN - North American Cup 3 - 2018 - Final 1,KOYAMA Takashi - JPN,Men,22.0,JPN,16.7,17.4,18.9,18.0,17.3,9.3,8.4,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 1,81.76,8
BEAUREGARD Ian - USA - North American Cup 2 - 2018 - Final 1,BEAUREGARD Ian - USA,Men,21.0,USA,17.2,17.6,17.4,17.6,17.0,6.9,6.2,0,0,0,0,-8.0,-8.0,0.0,2018,2018-North American Cup 2,Final 1,51.29,16
BAILEY Hunter - USA - North American Cup 3 - 2018 - Final 1,BAILEY Hunter - USA,Men,24.0,USA,18.6,18.5,19.4,18.9,19.2,7.5,6.2,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 1,86.45,1
WALCZYK Dylan - USA - North American Cup 1 - 2018 - Final 2,WALCZYK Dylan - USA,Men,27.0,USA,18.5,18.5,18.6,18.7,18.7,8.2,8.5,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 1,Final 2,83.83,1
WALCZYK Dylan - USA - North American Cup 1 - 2018 - Final 1,WALCZYK Dylan - USA,Men,27.0,USA,18.5,18.5,18.3,18.3,18.5,8.9,8.5,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 1,Final 1,85.25,1
NISHIZAWA Taketo - JPN - North American Cup 2 - 2018 - Final 1,NISHIZAWA Taketo - JPN,Men,21.0,JPN,17.1,17.9,16.3,16.9,16.2,6.6,7.2,0,0,0,0,-8.0,-8.0,0.0,2018,2018-North American Cup 2,Final 1,68.16,15
BEAUREGARD Ian - USA - North American Cup 3 - 2018 - Final 1,BEAUREGARD Ian - USA,Men,21.0,USA,17.2,18.2,19.2,17.7,17.9,7.8,8.5,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 1,76.2,16
ULSIFER Luke - CAN - North American Cup 2 - 2018 - Final 1,ULSIFER Luke - CAN,Men,27.0,CAN,18.4,17.5,17.1,18.0,17.5,7.7,7.2,0,0,0,0,-8.0,-8.0,0.0,2018,2018-North American Cup 2,Final 1,74.0,10
KAPRONCZAI Julian - CAN - North American Cup 1 - 2018 - Final 1,KAPRONCZAI Julian - CAN,Men,22.0,CAN,15.0,16.0,15.6,15.0,14.0,7.9,8.2,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 1,Final 1,25.58,14
DUMAIS Laurent - CAN - North American Cup 2 - 2018 - Final 2,DUMAIS Laurent - CAN,Men,24.0,CAN,19.5,19.4,18.9,18.5,19.5,8.5,8.7,0,0,0,0,-8.0,-8.0,0.0,2018,2018-North American Cup 2,Final 2,84.34,1
