Athlete_Comp,Athlete_name,Gender,age_yrs,Nation,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Major_Finalist,Major_Medalist,Olympic_Finalist,Olympic_Medalist,Temp_Snow,Temp_Air,Wind,Season,Season_Comp,Round,Metric,Finish
ROMANOV Sergey - KAZ - World Championships - 2019 - Qualification 2,ROMANOV Sergey - KAZ,Men,19.0,KAZ,14.0,14.0,14.2,13.5,15.0,2.8,2.4,0,0,0,0,0.0,-6.0,0.0,2019,2019-World Championships,Qualification 2,8.29,29
XIE Siqi - CHN - World Cup 2 - 2019 - Qualification 1,XIE Siqi - CHN,Women,20.0,CHN,12.0,13.8,10.2,10.3,11.5,4.0,3.7,0,0,0,0,-3.0,-12.0,0.0,2019,2019-World Cup 2,Qualification 1,31.93,27
HORISHIMA Ikuma - JPN - World Cup 7 - 2019 - Qualification 1,HORISHIMA Ikuma - JPN,Men,23.0,JPN,17.4,17.9,18.1,18.0,17.0,9.3,9.6,1,1,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 7,Qualification 1,82.74,2
ANTHONY Jakara - AUS - World Cup 1 - 2019 - Qualification 2,ANTHONY Jakara - AUS,Women,22.0,AUS,16.5,16.7,16.0,16.0,16.1,8.0,8.1,1,1,1,0,-1.0,-3.0,0.0,2019,2019-World Cup 1,Qualification 2,72.97,2
KOLMAKOV Pavel - KAZ - World Cup 2 - 2019 - Final 1,KOLMAKOV Pavel - KAZ,Men,24.0,KAZ,16.9,17.0,17.4,16.1,16.4,8.7,8.9,0,0,0,0,-3.0,-12.0,0.0,2019,2019-World Cup 2,Final 1,31.16,16
AMUNDSEN Aurora - NOR - World Championships - 2019 - Qualification 1,AMUNDSEN Aurora - NOR,Women,24.0,NOR,15.2,14.1,13.2,14.7,15.9,0.6,0.5,0,0,0,0,-1.0,-6.0,0.0,2019,2019-World Championships,Qualification 1,16.89,26
ELOFSSON Oskar - SWE - World Cup 6 - 2019 - Final 1,ELOFSSON Oskar - SWE,Men,22.0,SWE,15.8,16.9,17.0,16.7,16.8,8.4,8.2,0,0,0,0,0.0,0.0,0.0,2019,2019-World Cup 6,Final 1,75.28,12
ANTHONY Jakara - AUS - World Cup 4 - 2019 - Final 2,ANTHONY Jakara - AUS,Women,22.0,AUS,16.7,16.6,16.4,16.4,15.6,9.1,9.2,1,1,1,0,-2.0,-6.0,0.0,2019,2019-World Cup 4,Final 2,78.76,1
GRAHAM Matt - AUS - World Cup 1 - 2019 - Final 1,GRAHAM Matt - AUS,Men,26.0,AUS,17.2,17.1,17.1,16.9,17.0,8.1,8.1,1,1,1,1,-1.0,-3.0,0.0,2019,2019-World Cup 1,Final 1,80.34,8
FJALLSTROM Ludvig - SWE - World Cup 2 - 2019 - Final 1,FJALLSTROM Ludvig - SWE,Men,27.0,SWE,17.4,17.5,17.1,17.5,17.2,8.9,9.0,0,0,0,0,-3.0,-12.0,0.0,2019,2019-World Cup 2,Final 1,78.76,8
MATHESON James - AUS - World Cup 5 - 2019 - Qualification 1,MATHESON James - AUS,Men,25.0,AUS,16.4,16.9,15.0,15.5,15.2,6.6,6.6,0,0,0,0,-3.0,-19.0,0.0,2019,2019-World Cup 5,Qualification 1,67.52,33
PARKACHEV Nikita - RUS - World Championships - 2019 - Qualification 1,PARKACHEV Nikita - RUS,Men,21.0,RUS,15.4,13.8,14.7,15.2,15.3,6.0,5.2,0,0,0,0,-1.0,-6.0,0.0,2019,2019-World Championships,Qualification 1,63.84,30
LAFFONT Perrine - FRA - World Championships - 2019 - Final 2,LAFFONT Perrine - FRA,Women,22.0,FRA,17.6,17.3,17.4,16.6,17.2,6.6,6.3,1,1,1,1,-1.0,-9.0,0.0,2019,2019-World Championships,Final 2,78.7,3
HOSHINO Junko - JPN - World Cup 3 - 2019 - Final 1,HOSHINO Junko - JPN,Women,31.0,JPN,16.0,15.4,15.8,16.4,16.0,8.0,8.2,0,0,0,0,-1.0,1.0,0.0,2019,2019-World Cup 3,Final 1,72.37,10
SCHWINGHAMMER Maia - CAN - World Cup 3 - 2019 - Final 1,SCHWINGHAMMER Maia - CAN,Women,19.0,CAN,15.5,15.8,15.2,14.7,15.6,8.0,8.1,0,0,0,0,-1.0,1.0,0.0,2019,2019-World Cup 3,Final 1,72.37,11
SOAR Hannah - USA - World Cup 6 - 2019 - Qualification 1,SOAR Hannah - USA,Women,21.0,USA,14.4,14.4,12.7,15.5,15.7,6.1,5.8,0,0,0,0,-2.0,2.0,0.0,2019,2019-World Cup 6,Qualification 1,62.59,15
LEMIEUX Simon - CAN - World Cup 2 - 2019 - Qualification 1,LEMIEUX Simon - CAN,Men,28.0,CAN,11.9,12.0,10.0,9.9,14.0,7.2,7.7,0,0,0,0,-3.0,-12.0,0.0,2019,2019-World Cup 2,Qualification 1,17.83,43
